id,title,author,license,gpl_compat,views,likes,date,passes,has_mic,has_music,url
MdjyRm,"Shaderlamp",lherm,No-License,false,46566,53,1491439335,1,true,false,https://www.shadertoy.com/view/MdjyRm
s3l3Wl,"Raymarched mandelbaum reactive",enbe,CC-BY-NC+contact,false,165,9,1778893560,1,true,true,https://www.shadertoy.com/view/s3l3Wl
73s3Wl,"beautiful disaster",enbe,No-License,false,82,5,1779263323,1,true,true,https://www.shadertoy.com/view/73s3Wl
N32Gzz,"Basic Mandala",manUcan,No-License,false,86,6,1779011910,1,true,false,https://www.shadertoy.com/view/N32Gzz
7XBGRR,"QuasiForge",Memetic,No-License,false,90,2,1778954993,2,true,false,https://www.shadertoy.com/view/7XBGRR
MsdBR8,"dancing cubes",sclavel,No-License,false,22589,24,1524089273,2,true,false,https://www.shadertoy.com/view/MsdBR8
X3KcWR,"Genuary 2025 day 5",Kali,No-License,false,3672,78,1736126991,1,true,false,https://www.shadertoy.com/view/X3KcWR
fd2GRw,"Cyber Fuji 2020 audio reactive (Chaotnix fork — not the one we bundled; see Wt33Wf for the CC-BY-3.0 original)",Chaotnix,No-License,false,13288,12,1617135896,1,true,false,https://www.shadertoy.com/view/fd2GRw
7Xj3W1,"DEMO DJ DIABLILLO SHADERVDJ",DJDIABLILLO,No-License,false,33,0,1779503108,1,true,false,https://www.shadertoy.com/view/7Xj3W1
s3jGWD,"Pantalla Flash",DiegoLp,No-License,false,24,0,1779611180,1,true,false,https://www.shadertoy.com/view/s3jGWD
sXj3DW,"Flash ice",DiegoLp,No-License,false,22,0,1779605863,1,true,false,https://www.shadertoy.com/view/sXj3DW
llB3W1,"Fractal Audio 01",relampago2048,No-License,false,23185,112,1428522186,1,true,false,https://www.shadertoy.com/view/llB3W1
4sjfzm,"RYB Color wheel",pthextract,No-License,false,16454,25,1499946053,1,true,true,https://www.shadertoy.com/view/4sjfzm
X3KyRz,"Genuary 2025 #1",Kali,No-License,false,2182,62,1735872761,1,true,false,https://www.shadertoy.com/view/X3KyRz
MtBGRt,"Solines",poljere,No-License,false,16882,98,1434685452,1,true,false,https://www.shadertoy.com/view/MtBGRt
7Xl3Rj,"DNA in the mix :-) Mic reactive.",enbe,No-License,false,75,0,1778342448,1,true,true,https://www.shadertoy.com/view/7Xl3Rj
fcf3WM,"FFT Clock System",ompuco,No-License,false,319,8,1772835494,3,true,false,https://www.shadertoy.com/view/fcf3WM
sXlGzj,"""Music is in the DNA"" forked",enbe,No-License,false,66,3,1778345265,1,true,true,https://www.shadertoy.com/view/sXlGzj
sXsGRj,"Fork RYB Color spiral",enbe,No-License,false,62,3,1778341078,1,true,true,https://www.shadertoy.com/view/sXsGRj
slc3DX,"Oscilloscope music",incription,No-License,false,5456,42,1636823891,3,true,false,https://www.shadertoy.com/view/slc3DX
ff2XzV,"Volume Detector",OttoACS,No-License,false,94,1,1776977410,1,true,false,https://www.shadertoy.com/view/ff2XzV
W3ycDV,"the shader I load up when I'm pl",bombblob,No-License,false,305,5,1770055891,5,true,false,https://www.shadertoy.com/view/W3ycDV
clVGRD,"Ambiant AI.",outofpaper,No-License,false,2937,8,1683653505,1,true,false,https://www.shadertoy.com/view/clVGRD
scjGDd,"Shader Equalizor",ShaderDizzle,No-License,false,152,4,1774817243,1,true,false,https://www.shadertoy.com/view/scjGDd
wffBz8,"silly scope",mmalex,No-License,false,631,6,1757324315,1,true,false,https://www.shadertoy.com/view/wffBz8
ldcfWH,"simpler audiotunnel",sclavel,No-License,false,7116,13,1524869603,1,true,false,https://www.shadertoy.com/view/ldcfWH
wXByDG,"Fork: It is alive...with music 2",bottelini,No-License,false,519,9,1761166134,2,true,false,https://www.shadertoy.com/view/wXByDG
XlS3DD,"spectrum analysor",FabriceNeyret2,No-License,false,9531,32,1428958340,1,true,false,https://www.shadertoy.com/view/XlS3DD
llVcRG,"Psychedelic Music Visualizer 3",yonibr,No-License,false,6527,35,1536805232,1,true,false,https://www.shadertoy.com/view/llVcRG
Xtj3DW,"Twisted Rings",poljere,No-License,false,9312,47,1429548830,1,true,false,https://www.shadertoy.com/view/Xtj3DW
ltB3RK,"Yellow Manypus",poljere,No-License,false,8346,33,1430936470,1,true,false,https://www.shadertoy.com/view/ltB3RK
NdG3zw,"Audio Reactive Galaxy",JelyMe314,No-License,false,3461,43,1631215146,1,true,false,https://www.shadertoy.com/view/NdG3zw
WdfSDr,"Soundshader lines",Airground,No-License,false,5195,28,1551008696,1,true,false,https://www.shadertoy.com/view/WdfSDr
3fGcRV,"Cybertrons Inception ",Bhs,No-License,false,337,10,1764880191,2,true,false,https://www.shadertoy.com/view/3fGcRV
ftV3zK,"chillwave planet",z0rg,CC-BY-NC-SA-3.0,false,3130,39,1638108263,3,true,false,https://www.shadertoy.com/view/ftV3zK
llSGDh,"Input - Microphone",iq,No-License,false,7657,37,1428482235,1,true,false,https://www.shadertoy.com/view/llSGDh
WfVfD3,"Fork spectrum",bombblob,No-License,false,251,2,1767920116,2,true,false,https://www.shadertoy.com/view/WfVfD3
33lyzf,"Fork glow shade DJDIABLILL 615",DJDIABLILLO,No-License,false,402,4,1760537053,1,true,false,https://www.shadertoy.com/view/33lyzf
WfVcRV,"Fork Chiptune ( Bhs 559",Bhs,No-License,false,311,6,1764916688,2,true,false,https://www.shadertoy.com/view/WfVcRV
tslSz7,"Soundshader",Airground,No-License,false,4527,24,1550961603,1,true,false,https://www.shadertoy.com/view/tslSz7
XctBW7,"Synthwave Sunset Mic Visualizer",TheWindowStreamz,No-License,false,901,5,1733169251,1,true,false,https://www.shadertoy.com/view/XctBW7
wfXfz4,"Fork Undulating TeXmExDeX 907",TeXmExDeX,No-License,false,422,7,1757368058,2,true,false,https://www.shadertoy.com/view/wfXfz4
Nc2GDD,"Phantom Recurrence Engine",apocalypse_cow,No-License,false,106,2,1774075166,1,true,false,https://www.shadertoy.com/view/Nc2GDD
WclBRN,"FORK eye of phi (audio reactive)",TeXmExDeX,No-License,false,406,9,1757397802,3,true,false,https://www.shadertoy.com/view/WclBRN
MsGczc,"Revision Qualification 2018-Cupe",nightfox,No-License,false,4484,28,1522775749,4,true,false,https://www.shadertoy.com/view/MsGczc
NfjSRV,"tunnel vis experiment",whut,No-License,false,51,0,1776974411,3,true,false,https://www.shadertoy.com/view/NfjSRV
33jcRR,"Waveform Microphone",belisoful,No-License,false,316,11,1760572565,2,true,false,https://www.shadertoy.com/view/33jcRR
lt23W1,"mic analysis",FabriceNeyret2,No-License,false,5648,44,1428743806,1,true,false,https://www.shadertoy.com/view/lt23W1
McSBRy,"Fork SoundEclip SwagLordLa 430",SwagLordLancalot,No-License,false,858,6,1725133099,1,true,false,https://www.shadertoy.com/view/McSBRy
Mt23zz,"ngPsy1",netgrind,No-License,false,5506,36,1426722269,1,true,false,https://www.shadertoy.com/view/Mt23zz
43cGDs,"starfield visualizer",technowizard,No-License,false,977,10,1717112655,1,true,false,https://www.shadertoy.com/view/43cGDs
wfsXDl,"iridescent ribbons",evesira,No-License,false,586,10,1741472423,3,true,false,https://www.shadertoy.com/view/wfsXDl
w3yBD1,"Delta Final BG",JustMoon,No-License,false,127,1,1771588245,1,true,false,https://www.shadertoy.com/view/w3yBD1
4lVyzG," Sound Grid",hobohippy,No-License,false,3643,10,1536790416,1,true,false,https://www.shadertoy.com/view/4lVyzG
WXS3RV,"Fork Shimmy WoodsGao 951",WoodsGao,No-License,false,529,12,1744265560,1,true,false,https://www.shadertoy.com/view/WXS3RV
ttVyW3,"Toni Tunnel",Kali,No-License,false,1827,19,1653606338,2,true,false,https://www.shadertoy.com/view/ttVyW3
3clcWn,"Audio Visualiser v0.1 Sadeghi",mortezasadeghilkjh,No-License,false,352,6,1755535449,1,true,false,https://www.shadertoy.com/view/3clcWn
XcBcR3,"Fork Fractal 77 NikolaErce 454",NikolaErceg,No-License,false,822,8,1722644461,1,true,false,https://www.shadertoy.com/view/XcBcR3
Nfl3D8,"Floored frequencies",veik,No-License,false,101,3,1772735425,1,true,false,https://www.shadertoy.com/view/Nfl3D8
wdV3zz,"switching webcam visualizer",ericspags,No-License,false,2909,11,1570308005,2,true,false,https://www.shadertoy.com/view/wdV3zz
tfSBzz,"Fork Fork Fork  BoringUna 811",BoringUna,No-License,false,301,8,1758199818,1,true,false,https://www.shadertoy.com/view/tfSBzz
XdtBR2,"Dancing Sinus",FraKtus,No-License,false,3509,14,1525948745,1,true,false,https://www.shadertoy.com/view/XdtBR2
lltGW2,"radial sound displacment",netgrind,No-License,false,4210,49,1474680994,2,true,false,https://www.shadertoy.com/view/lltGW2
WXtGzn,"Test shader for api stuff",petrmur,No-License,false,388,0,1750853698,3,true,true,https://www.shadertoy.com/view/WXtGzn
WcXSDn,"mic sphere",evesira,No-License,false,522,11,1740781476,2,true,false,https://www.shadertoy.com/view/WcXSDn
tsXSDH,"static prismatic smoke",morisil,No-License,false,3047,34,1551166723,4,true,false,https://www.shadertoy.com/view/tsXSDH
tcdyzB,"Blue Thunder",ankurrabha,No-License,false,215,4,1763768438,1,true,false,https://www.shadertoy.com/view/tcdyzB
fllGR7,"Acid tubes",z0rg,No-License,false,1921,10,1630397225,3,true,true,https://www.shadertoy.com/view/fllGR7
dt3XDl,"Fork 3D Audio V ItsAlmostP 974",ItsAlmostPG,No-License,false,1193,8,1685860989,1,true,false,https://www.shadertoy.com/view/dt3XDl
3XdcWn,"HeyMyVoice",JamesZFS,No-License,false,149,3,1768056238,1,true,false,https://www.shadertoy.com/view/3XdcWn
flsGWf,"OpenSetTest8",OpenSet,No-License,false,1916,26,1623006612,2,true,false,https://www.shadertoy.com/view/flsGWf
7dc3WH,"spec-test",made,No-License,false,1796,11,1629679094,1,true,false,https://www.shadertoy.com/view/7dc3WH
mtjSWm,"Fork SoundEclip nobody 012",nobody,No-License,false,1224,4,1676215134,1,true,false,https://www.shadertoy.com/view/mtjSWm
wf3BDf,"Dot Globe ",ankurrabha,No-License,false,157,5,1766425373,1,true,false,https://www.shadertoy.com/view/wf3BDf
dtyGDG,"Polar reaction blue",firebreathz,No-License,false,579,3,1729916706,1,true,false,https://www.shadertoy.com/view/dtyGDG
tfcBWf,"Magic Globe",ankurrabha,No-License,false,154,4,1766422577,1,true,false,https://www.shadertoy.com/view/tfcBWf
WcccRf,"I am ai v2 gemini",Bhs,No-License,false,181,7,1763880652,2,true,false,https://www.shadertoy.com/view/WcccRf
csVyRR,"vision on line",dj_afroedi,No-License,false,938,5,1695718490,1,true,false,https://www.shadertoy.com/view/csVyRR
WcBBRh,"Fork Abstract Music",science6uru2,No-License,false,241,5,1758247991,1,true,false,https://www.shadertoy.com/view/WcBBRh
mtcXDl,"Fork Pixel Ra ItsAlmostP 469",ItsAlmostPG,No-License,false,1031,7,1685861490,5,true,true,https://www.shadertoy.com/view/mtcXDl
Mt23Dm,"Reactive Flower",poljere,No-License,false,3792,10,1429830550,1,true,false,https://www.shadertoy.com/view/Mt23Dm
WfBfzh,"Neon Dark Visualizer Wallaper",science6uru2,No-License,false,228,1,1758252816,3,true,false,https://www.shadertoy.com/view/WfBfzh
3cVBRz,"Waveform test",TheCatWithShaders,No-License,false,140,2,1766590772,1,true,false,https://www.shadertoy.com/view/3cVBRz
ctfGDl,"ReactionDiffusion2",DigitalShadow,No-License,false,1118,26,1672626863,2,true,false,https://www.shadertoy.com/view/ctfGDl
4fScR3,"Fork Inside nuc NikolaErce 064",NikolaErceg,No-License,false,570,1,1722644168,3,true,true,https://www.shadertoy.com/view/4fScR3
WtlXzN,"Paganini caprice 24 eclipse",morisil,No-License,false,2160,35,1562280046,2,true,false,https://www.shadertoy.com/view/WtlXzN
clGfD3,"Bumpy sound response",sanderoneil,No-License,false,765,6,1702535474,3,true,false,https://www.shadertoy.com/view/clGfD3
lXfXR2,"jj2",jjdee,No-License,false,692,3,1709718764,1,true,false,https://www.shadertoy.com/view/lXfXR2
4fVyzy,"dancing fraction",rnslv,No-License,false,467,6,1732039190,1,true,false,https://www.shadertoy.com/view/4fVyzy
MdVBW1,"Audio experiment #4 - mic",Simplyfire,No-License,false,2441,16,1528743695,1,true,false,https://www.shadertoy.com/view/MdVBW1
3cGBDz,"Fork Mini: Hill molotovbliss 023",molotovbliss,No-License,false,126,0,1766937070,1,true,false,https://www.shadertoy.com/view/3cGBDz
4ctXR8,"Visual enhancments forSoundEclip",Xtrullor,No-License,false,633,3,1713564176,1,true,false,https://www.shadertoy.com/view/4ctXR8
tcVXzh,"Brush stroke, wave, audio react",DiogDiog,No-License,false,283,1,1749825199,3,true,false,https://www.shadertoy.com/view/tcVXzh
sslXzX,"MandelKoch- Music Visualiser ver",Pelegefen,No-License,false,1513,12,1618999291,1,true,true,https://www.shadertoy.com/view/sslXzX
sdfGz4,"Audio Bars?",mvinaround,No-License,false,1175,6,1654357917,3,true,false,https://www.shadertoy.com/view/sdfGz4
McBXDw,"iChannel textures",OnyxWingman,No-License,false,678,0,1706676099,2,true,false,https://www.shadertoy.com/view/McBXDw
wXGyDK,"Spectrum Analyzer 101",sevenlabs,No-License,false,94,1,1769740216,2,true,false,https://www.shadertoy.com/view/wXGyDK
4ldfWH,"Webcam-Microphone Voice Ripple",BenWheatley,No-License,false,2217,10,1539456807,1,true,false,https://www.shadertoy.com/view/4ldfWH
DslXW2,"Synthwave Triangles",elloskelling,No-License,false,1012,14,1669588746,1,true,false,https://www.shadertoy.com/view/DslXW2
4lBGDW,"Mic to the heart",antonOTI,No-License,false,3160,9,1428867043,1,true,false,https://www.shadertoy.com/view/4lBGDW
scS3Dw,"Dj Erwin Chacin",djerwinchacin,No-License,false,52,1,1774139185,1,true,false,https://www.shadertoy.com/view/scS3Dw
3cyfWh,"Celestial Inferno",bug0rig,No-License,false,116,3,1767007690,1,true,false,https://www.shadertoy.com/view/3cyfWh
WftBzf,"dragonFly_03",ttoome,No-License,false,116,4,1766827499,1,true,false,https://www.shadertoy.com/view/WftBzf
tl3yzN,"serg4",serega09,No-License,false,1511,7,1608568387,2,true,false,https://www.shadertoy.com/view/tl3yzN
ftKGRc,"Spiral spectrogram",windytan,No-License,false,1247,12,1638094248,1,true,false,https://www.shadertoy.com/view/ftKGRc
3tVBzD,"Pixels3000",z0rg,No-License,false,1420,17,1618050608,3,true,true,https://www.shadertoy.com/view/3tVBzD
DssXW2,"Fractal Flower Fork",elloskelling,No-License,false,965,11,1669588656,1,true,false,https://www.shadertoy.com/view/DssXW2
M3XSR2,"jj1",jjdee,No-License,false,611,2,1709715669,1,true,false,https://www.shadertoy.com/view/M3XSR2
sd3yW8,"Toni Disk",Kali,No-License,false,1075,16,1653357994,2,true,false,https://www.shadertoy.com/view/sd3yW8
4XBczc,"Glow Tunnel (Potato)",Spectraledge,No-License,false,444,3,1727645819,2,true,false,https://www.shadertoy.com/view/4XBczc
WdfGDX,"#EVOKE 2019 Sound Hybrid Mandel",VJSpackOMat,No-License,false,1806,11,1565967761,1,true,false,https://www.shadertoy.com/view/WdfGDX
ltcyD7,"sound visualizer #2",archibate,No-License,false,2061,4,1532857123,4,true,false,https://www.shadertoy.com/view/ltcyD7
4XVczz,"Genuary 2025 !1",Kali,No-License,false,364,28,1735952840,1,true,false,https://www.shadertoy.com/view/4XVczz
lttBz2,"flame_cppn_audio",wxs,No-License,false,1972,13,1540354818,1,true,false,https://www.shadertoy.com/view/lttBz2
t3fSz7,"Audio Spectrums arcs+rays",altarofwisdom,No-License,false,287,2,1744918722,1,true,false,https://www.shadertoy.com/view/t3fSz7
4dfcWN,"fft ifs",nshelton,No-License,false,2386,15,1488157628,3,true,false,https://www.shadertoy.com/view/4dfcWN
ltVcRD,"Psychedelic Music Visualizer 2",yonibr,No-License,false,1962,10,1535422881,1,true,false,https://www.shadertoy.com/view/ltVcRD
WfXyz8,"Fork Fork rayma pyroxenite 048",pyroxenite,No-License,false,141,1,1761735541,1,true,false,https://www.shadertoy.com/view/WfXyz8
WXt3R7,"Basic Audio 365",flexi001,No-License,false,223,2,1751057090,1,true,false,https://www.shadertoy.com/view/WXt3R7
X32fRV,"Soundwave",Artem001,No-License,false,386,3,1729698887,1,true,false,https://www.shadertoy.com/view/X32fRV
4tlXzH,"ngRay3",netgrind,No-License,false,2645,14,1434513354,1,true,false,https://www.shadertoy.com/view/4tlXzH
dlK3RW,"PlasmaMic",diasgc,No-License,false,736,13,1683670179,1,true,false,https://www.shadertoy.com/view/dlK3RW
3f3fDX,"Happy July",Huino,No-License,false,102,6,1766385586,1,true,false,https://www.shadertoy.com/view/3f3fDX
tfSfz1,"Geometric Illusion Engine V2",KarmaDeezy,No-License,false,159,5,1758280928,1,true,false,https://www.shadertoy.com/view/tfSfz1
wXyGD1,"projector larsen",Lordinator,No-License,false,203,0,1752276492,3,true,false,https://www.shadertoy.com/view/wXyGD1
w32fzK,"talking face",mds2,No-License,false,126,4,1762730498,2,true,false,https://www.shadertoy.com/view/w32fzK
lstGW2,"webcam bad reception",intoxopox,No-License,false,2372,4,1452388900,1,true,false,https://www.shadertoy.com/view/lstGW2
MtSGWt,"MandelBox audio",nshelton,No-License,false,2486,6,1433488761,1,true,false,https://www.shadertoy.com/view/MtSGWt
ttl3z4,"Waves of sound",madonius,No-License,false,1602,9,1555793246,1,true,true,https://www.shadertoy.com/view/ttl3z4
ld2yDD,"twitchy fractal",netgrind,No-License,false,2025,18,1494949170,2,true,false,https://www.shadertoy.com/view/ld2yDD
MlGyRd,"李明杰V23",leneer,No-License,false,1720,13,1537325205,1,true,false,https://www.shadertoy.com/view/MlGyRd
WfcSR8,"life during shroom",lofiatl,No-License,false,221,3,1748735158,1,true,false,https://www.shadertoy.com/view/WfcSR8
XclXzN,"Fork Raymarchin ItsAlmostP 955",ItsAlmostPG,No-License,false,529,2,1705005980,1,true,false,https://www.shadertoy.com/view/XclXzN
NsyGDV,"Soundshader X-lines",made,No-License,false,1041,10,1632171475,1,true,false,https://www.shadertoy.com/view/NsyGDV
ldscRB,"3D Kali",lherm,No-License,false,2042,13,1488821894,1,true,false,https://www.shadertoy.com/view/ldscRB
t3GfRd,"Valentines day hearts",Tom_Neverwinter,No-License,false,55,2,1772005007,1,true,false,https://www.shadertoy.com/view/t3GfRd
dlycDW,"breakthrough + audio (mic-in)",MV10,No-License,false,551,11,1700222702,2,true,false,https://www.shadertoy.com/view/dlycDW
3XtyR4,"自己",zixiaolintina,No-License,false,83,1,1767908292,2,true,false,https://www.shadertoy.com/view/3XtyR4
M3KSWy,"Fork <><> Echev Panguin828 406",Panguin8281,No-License,false,409,4,1720537729,1,true,false,https://www.shadertoy.com/view/M3KSWy
MlXSz4,"I dont even know",Cieric,No-License,false,2321,12,1434824780,1,true,false,https://www.shadertoy.com/view/MlXSz4
ssSXRy,"audio wave and fft example",bespsm,No-License,false,1072,5,1620471906,1,true,false,https://www.shadertoy.com/view/ssSXRy
3XdSz2,"Scarlet Nexus",BlairNyX,No-License,false,176,3,1753670655,3,true,false,https://www.shadertoy.com/view/3XdSz2
WsGyRh,"Elipse Mic",FlavioMoreir4,No-License,false,1188,14,1602174439,1,true,false,https://www.shadertoy.com/view/WsGyRh
lsscWH,"tuner / spectrometer",FabriceNeyret2,No-License,false,1947,25,1488110548,1,true,false,https://www.shadertoy.com/view/lsscWH
W3lXR7,"Some experiments",altarofwisdom,No-License,false,166,2,1755042396,1,true,false,https://www.shadertoy.com/view/W3lXR7
XcG3Wc,"Argon Argyle Visualizer",FatLenny,No-License,false,440,14,1713662706,1,true,false,https://www.shadertoy.com/view/XcG3Wc
WdSGzR,"Psychedelic Music Slices",yonibr,No-License,false,1537,8,1547886382,2,true,false,https://www.shadertoy.com/view/WdSGzR
MfGfWm,"6-orthotope interactive fast",willwombell,No-License,false,301,2,1734093732,3,true,false,https://www.shadertoy.com/view/MfGfWm
fddXRj,"3Blue1Brown's Hilbert Curve",playersteve19,No-License,false,961,18,1633533741,1,true,false,https://www.shadertoy.com/view/fddXRj
cldXDN,"Sound circle",fifa_s,No-License,false,543,5,1696778000,1,true,false,https://www.shadertoy.com/view/cldXDN
